NAME,Birth,Region,Energy,CarbonDioxide,Fertility,IndustrialGrowth,Laborforce,LifeExpectancy,Unemployment
Bhutan,15.94,South Asia,100135000,934000,1.79,1.96,361000,72.31,4.33
Jamaica,15.91,Central America and the Caribbean,49700000,10002000,2.06,2.38,1418000,75.75,9.18
Mongolia,15.84,East and Southeast Asia,83045000,22740000,1.91,-2.22,1331000,71.37,7.08
Vietnam,15.69,East and Southeast Asia,36392000,249929000,2.05,3.58,56203000,75.52,2.17
Argentina,15.58,South America,79083000,193205000,2.18,15.26,21206000,78.31,10.9
Maldives,15.54,South Asia,59690000,2286000,1.71,4.51,229300,76.94,6.08
Uzbekistan,15.53,Central Asia,57709000,102965000,1.73,8.37,14094000,75.29,7.16
Kazakhstan,15.38,Central Asia,180726000,263689000,2.11,5.1,9248000,72.53,4.9
Suriname,15.38,South America,82356000,2372000,1.92,-10.92,244200,72.42,10.06
Indonesia,15.32,East and Southeast Asia,29680000,563543000,2.01,3.42,138119000,73.08,4.41
Iran,15.27,Middle East,145540000,646038000,1.93,3.21,27682000,75.25,11.46
Colombia,15.21,South America,34703000,81007000,1.95,9.65,26137000,74.89,14.34
Antigua and Barbuda,15.16,Central America and the Caribbean,107154000,729000,1.95,8.26,30000,77.8,11
Faroe Islands,14.94,Europe,0,870000,2.29,3.4,27540,81.26,2.2
Kosovo,14.85,Europe,51462000,8009000,1.9,7.76,500300,71.12,30.5
Bahamas The,14.64,Central America and the Caribbean,140505000,3984000,1.98,8.51,224400,76.13,13.24
Tunisia,14.62,Africa,35620000,23692000,2,8.6,4226000,76.82,16.82
Malaysia,14.55,East and Southeast Asia,123755000,254764000,1.75,5.65,16740000,76.13,4.61
Costa Rica,14.28,Central America and the Caribbean,44899000,8115000,1.86,9.83,2426000,79.64,17.95
Turkey (Turkiye),14.28,Middle East,79126000,391792000,1.93,12.46,32554000,76.21,13.39
Saudi Arabia,14.22,Middle East,296949000,579925000,1.92,1.71,16060000,76.65,7.36
Korea North,14.21,East and Southeast Asia,12610000,18465000,1.9,1,17160000,71.77,2.59
New Caledonia,14.13,Australia and Oceania,0,5886000,1.86,3.5,132200,78.83,16.57
Brazil,13.96,South America,59444000,456670000,1.8,4.48,99470000,75.92,14.4
Grenada,13.94,Central America and the Caribbean,39799000,316000,1.93,15.33,55270,75.74,24
Dominica,13.91,Central America and the Caribbean,37513000,182000,2.02,5.01,25000,78.21,23
Sri Lanka,13.8,South Asia,17268000,23939000,1.98,5.62,8268000,78,5.39
Azerbaijan,13.59,Middle East,64416000,35389000,1.86,1.95,4919000,74.15,6.58
Mexico,13.55,North America,61597000,463739000,1.68,5.44,56132000,72.32,4.38
Turks and Caicos Islands,13.54,Central America and the Caribbean,0,245000,1.7,5,4848,80.82,10
Lebanon,13.1,Middle East,53528000,25838000,1.71,-6.85,1719000,78.76,14.49
New Zealand,12.78,Australia and Oceania,186804000,40344000,1.86,-2.09,2911000,82.54,4.12
Chile,12.75,South America,81953000,88333000,1.76,5.06,8684000,79.79,9.13
Uruguay,12.71,South America,66909000,6450000,1.76,5.87,1702000,78.43,10.45
Albania,12.69,Europe,38442000,3794000,1.54,16,1378000,79.47,11.82
Cook Islands,12.55,Australia and Oceania,0,114000,2.07,1,6820,77.14,13.1
Bahrain,12.4,Middle East,547976000,43112000,1.67,0.4,819100,79.9,1.87
Seychelles,12.37,Africa,163060000,1156000,1.82,3.63,51000,76.1,3
Ireland,12.32,Europe,133674000,35475000,1.92,20.33,2518000,81.66,6.63
Australia,12.3,Australia and Oceania,241004000,417870000,1.73,-0.55,13786000,83.09,5.11
United States,12.28,North America,304414000,5144361000,1.84,3.25,164797000,80.59,5.46
Saint Vincent and the Grenadines,12.27,Central America and the Caribbean,27821000,202000,1.75,5.7,51700,76.68,21.62
Saint Kitts and Nevis,12.24,Central America and the Caribbean,71960000,268000,1.76,1.55,18170,77.08,4.5
Saint Lucia,12.02,Central America and the Caribbean,50872000,659000,1.72,10.8,99900,78.95,16.91
Norway,12,Europe,333833000,36731000,1.83,2.19,2971000,82.55,4.99
Cayman Islands,11.69,Central America and the Caribbean,175578000,808000,1.82,-3.36,39000,82.04,4
France,11.66,Europe,151053000,338425000,2.03,6.98,31132000,82.59,8.06
Luxembourg,11.61,Europe,310068000,11308000,1.63,2.87,333900,82.98,5.23
Denmark,11.22,Europe,124163000,33850000,1.77,5.25,3051000,81.66,4.8
Montenegro,11.19,Europe,77286000,2447000,1.81,1.39,277400,77.75,18.49
Armenia,11.1,Middle East,53019000,6354000,1.65,3.4,1153000,76.13,20.9
Bermuda,11.03,North America,176312000,796000,1.9,0.1,33480,82.04,7
Georgia,11,Middle East,63286000,10299000,1.75,2.4,1724000,77.5,10.66
Netherlands,10.99,Europe,219606000,214416000,1.78,4.93,9902000,82.16,4.01
Belgium,10.95,Europe,234216000,128247000,1.77,1.28,5240000,81.86,6.42
British Virgin Islands,10.95,Central America and the Caribbean,80136000,173000,1.35,1.1,12770,79.67,2.9
Montserrat,10.9,Central America and the Caribbean,0,33000,1.32,-21,4521,75.7,5.6
Barbados,10.83,Central America and the Caribbean,83723000,1703000,1.7,-0.6,139100,78.55,10.41
Sweden,10.83,Europe,210882000,48144000,1.67,5.72,5556000,82.7,8.66
United Arab Emirates,10.81,Middle East,471788000,276236000,1.64,2.54,6074000,79.56,3.36
United Kingdom,10.79,Europe,119894000,398084000,1.63,9.12,34637000,81.94,4.53
Cyprus,10.57,Europe,133920000,8024000,1.48,8.1,655100,79.74,6.13
North Macedonia,10.45,Europe,53572000,7383000,1.51,-2.37,916200,76.84,16.2
Finland,10.42,Europe,216571000,41996000,1.74,2.77,2820000,81.76,7.53
Switzerland,10.36,Europe,137918000,38739000,1.58,7.91,4963000,83.23,5.32
Moldova,10.19,Europe,40398000,8114000,1.59,-0.67,810000,72.44,3.96
Canada,10.17,North America,403700000,612084000,1.57,4.74,21017000,83.8,7.51
Thailand,10.14,East and Southeast Asia,76714000,305273000,1.54,3.34,40213000,77.66,1.42
Cuba,10.11,Central America and the Caribbean,32785000,16478000,1.71,-6.75,5135000,79.64,2.76
China,9.93,East and Southeast Asia,105687000,10773248000,1.45,8.22,791383000,77.72,4.82
Mauritius,9.86,Africa,79448000,7191000,1.35,20.88,597900,74.86,7.41
Malta,9.73,Europe,267739000,9576000,1.5,-3.3,280300,83.2,3.5
Austria,9.45,Europe,171299000,65540000,1.51,6.77,4661000,82.27,6.3
Russia,9.45,Central Asia,227898000,1848070000,1.6,4.9,72444000,72.44,5.01
Qatar,9.33,Middle East,723582000,111922000,1.9,0.66,1977000,79.81,0.26
Lithuania,9.26,Europe,101651000,14503000,1.61,8.58,1476000,75.78,7.9
Macau,9.11,East and Southeast Asia,81407000,2012000,1.22,5.17,404500,84.98,3.01
Belarus,9.08,Europe,102558000,54695000,1.51,6.7,4950000,74.28,4.74
Germany,9.08,Europe,161174000,726881000,1.57,3.61,43968000,81.51,3.54
Singapore,9.05,East and Southeast Asia,639951000,238983000,1.16,13.32,3290000,86.35,3.62
Ukraine,9,Europe,82571000,185686000,1.56,2.57,20463000,73.45,8.88
Slovakia,8.94,Europe,129665000,32506000,1.46,2.46,2766000,78.31,6.74
Serbia,8.92,Europe,98195000,47735000,1.46,8.63,3176000,74.17,11.81
Romania,8.76,Europe,71736000,68746000,1.63,4.07,8381000,75.75,5.17
Estonia,8.75,Europe,76329000,4924000,1.61,7.13,704700,77.88,6.33
Latvia,8.73,Europe,86645000,8450000,1.54,1.93,955000,75.91,7.6
Croatia,8.65,Europe,89733000,16752000,1.45,9.11,1742000,77.22,8.68
Hungary,8.65,Europe,108212000,48589000,1.48,6.64,4910000,77.2,4.12
Czechia,8.59,Europe,161972000,99533000,1.49,3.3,5266000,79.73,2.89
Poland,8.5,Europe,112831000,304040000,1.4,3.36,18212000,78.76,3.37
Bosnia and Herzegovina,8.41,Europe,71815000,16209000,1.36,8.87,1169000,77.98,15.22
Slovenia,8.3,Europe,134836000,13553000,1.6,9.43,1036000,81.82,4.42
Bulgaria,8.05,Europe,103924000,38373000,1.5,1.72,3291000,75.57,5.42
Hong Kong,8.04,East and Southeast Asia,172009000,92493000,1.22,2.08,3842000,83.61,5.32
Portugal,8,Europe,101734000,50370000,1.43,5.63,5174000,81.5,6.65
Puerto Rico,7.87,Central America and the Caribbean,94379000,18999000,1.24,-2.1,1136000,81.68,8.27
Greece,7.61,Europe,108022000,70163000,1.4,10.67,4619000,81.49,14.8
Taiwan,7.39,East and Southeast Asia,160669000,279206000,1.08,3.9,11498000,81.16,3.73
Spain,7.13,Europe,122673000,280624000,1.27,4.03,23382000,82.55,14.73
Italy,6.95,Europe,112606000,332041000,1.22,13.46,25012000,82.59,9.83
Japan,6.95,East and Southeast Asia,147107000,1103234000,1.38,-4.33,68629000,84.83,2.8
Korea South,6.92,East and Southeast Asia,242346000,686954000,1.1,5.09,28674000,82.97,3.53
